ano,municipio,uf,regiao,codigo_ibge,nome_escola,rede,tipo,nota_media_enem,taxa_aprovacao,indicador_ideb,pib_per_capita
2020,cunha,AC,Norte,2900007,escola da cunha ltda,privada,privada,498.4865909090909,0.736,4.06,10149.09
2020,cunha,AC,Norte,2900007,escola moura municipal,publica,municipal,489.8602941176471,0.864,3.54,10149.09
2020,montenegro,AC,Norte,2900008,escola albuquerque ltda,privada,privada,603.7923214285714,0.985,6.26,40048.52
2020,montenegro,AC,Norte,2900008,escola novaes estadual,publica,estadual,615.603125,0.805,7.23,40048.52
2020,montenegro,AC,Norte,2900008,escola rodrigues estadual,publica,estadual,605.7862037037037,0.889,7.1,40048.52
2020,montenegro,AC,Norte,2900008,escola silveira estadual,publica,estadual,609.5308333333334,0.901,7.04,40048.52
2020,novais,AC,Norte,2900009,escola camargo ltda,privada,privada,575.847380952381,0.899,6.26,30241.26
2020,novais,AC,Norte,2900009,escola rodrigues municipal,publica,municipal,572.6253125000001,0.795,6.22,30241.26
2020,alves,AM,Norte,2900001,escola borges estadual,publica,estadual,545.5620588235295,0.748,5.61,21857.98
2020,alves,AM,Norte,2900001,escola monteiro municipal,publica,municipal,539.8448076923077,0.754,,21857.98
2020,alves,AM,Norte,2900001,escola moraes estadual,publica,estadual,536.6309615384615,0.795,4.69,21857.98
2020,alves,AM,Norte,2900001,escola sa municipal,publica,municipal,517.0979411764706,0.809,4.33,21857.98
2020,da cruz de goias,AM,Norte,2900002,escola aragao estadual,publica,estadual,621.9556249999999,0.87,6.81,43176.43
2020,da cruz de goias,AM,Norte,2900002,escola camargo municipal,publica,municipal,620.706452991453,0.88,7.67,43176.43
2020,sousa,AM,Norte,2900003,escola cassiano municipal,publica,municipal,568.2036111111112,0.834,6.27,35083.78
2020,sousa,AM,Norte,2900003,escola pires municipal,publica,municipal,591.6084482758621,0.799,5.34,35083.78
2020,abreu da serra,BA,Nordeste,2900012,escola camargo estadual,publica,estadual,628.0277192982456,0.949,7.55,43886.66
2020,abreu da serra,BA,Nordeste,2900012,escola fernandes ltda,privada,privada,630.8567741935484,0.867,7.53,43886.66
2020,abreu da serra,BA,Nordeste,2900012,escola ramos municipal,publica,municipal,623.3148214285713,0.936,7.37,43886.66
2020,camara dos dourados,BA,Nordeste,2900011,escola da mata ltda,privada,privada,478.9562179487179,0.738,3.64,8761.63
2020,camara dos dourados,BA,Nordeste,2900011,escola vargas estadual,publica,estadual,486.79359375,0.781,4.57,8761.63
