id_escola,nome,rede,tipo
1,escola da cunha ltda,privada,privada
2,escola moura municipal,publica,municipal
3,escola albuquerque ltda,privada,privada
4,escola novaes estadual,publica,estadual
5,escola rodrigues estadual,publica,estadual
6,escola silveira estadual,publica,estadual
7,escola camargo ltda,privada,privada
8,escola rodrigues municipal,publica,municipal
9,escola borges estadual,publica,estadual
10,escola monteiro municipal,publica,municipal
11,escola moraes estadual,publica,estadual
12,escola sa municipal,publica,municipal
13,escola aragao estadual,publica,estadual
14,escola camargo municipal,publica,municipal
15,escola cassiano municipal,publica,municipal
16,escola pires municipal,publica,municipal
17,escola camargo estadual,publica,estadual
18,escola fernandes ltda,privada,privada
19,escola ramos municipal,publica,municipal
20,escola da mata ltda,privada,privada
21,escola vargas estadual,publica,estadual
22,escola nascimento ltda,privada,privada
23,escola sa municipal,publica,municipal
24,escola caldeira municipal,publica,municipal
25,escola montenegro ltda,privada,privada
26,escola da rosa ltda,privada,privada
27,escola pires municipal,publica,municipal
28,escola costa ltda,privada,privada
29,escola montenegro ltda,privada,privada
30,escola pereira municipal,publica,municipal
31,escola porto ltda,privada,privada
32,escola araujo ltda,privada,privada
33,escola da costa municipal,publica,municipal
34,escola das neves estadual,publica,estadual
35,escola barros estadual,publica,estadual
36,escola da costa estadual,publica,estadual
37,escola nunes municipal,publica,municipal
38,escola barros estadual,publica,estadual
39,escola mendonca municipal,publica,municipal
40,escola siqueira estadual,publica,estadual
41,escola castro estadual,publica,estadual
42,escola nogueira ltda,privada,privada
43,escola teixeira ltda,privada,privada
44,escola cassiano ltda,privada,privada
45,escola freitas estadual,publica,estadual
46,escola moura estadual,publica,estadual
47,escola vasconcelos estadual,publica,estadual
48,escola cunha municipal,publica,municipal
49,escola lima municipal,publica,municipal
50,escola nogueira municipal,publica,municipal
51,escola pereira ltda,privada,privada
52,escola costa ltda,privada,privada
53,escola sa municipal,publica,municipal
54,escola sales estadual,publica,estadual
55,escola siqueira estadual,publica,estadual
56,escola cavalcante estadual,publica,estadual
57,escola da luz municipal,publica,municipal
58,escola moura municipal,publica,municipal
59,escola almeida municipal,publica,municipal
60,escola mendonca estadual,publica,estadual
61,escola abreu estadual,publica,estadual
62,escola duarte ltda,privada,privada
63,escola peixoto municipal,publica,municipal
64,escola camargo ltda,privada,privada
65,escola fonseca estadual,publica,estadual
66,escola garcia municipal,publica,municipal
67,escola gomes ltda,privada,privada
68,escola martins ltda,privada,privada
69,escola peixoto estadual,publica,estadual
70,escola azevedo estadual,publica,estadual
71,escola lima ltda,privada,privada
72,escola peixoto ltda,privada,privada
73,escola castro estadual,publica,estadual
74,escola rodrigues municipal,publica,municipal
75,escola vieira municipal,publica,municipal
76,escola cavalcanti ltda,privada,privada
77,escola da luz municipal,publica,municipal
78,escola montenegro municipal,publica,municipal
79,escola teixeira ltda,privada,privada
80,escola abreu estadual,publica,estadual
81,escola marques municipal,publica,municipal
82,escola silveira estadual,publica,estadual
83,escola silveira ltda,privada,privada
84,escola castro municipal,publica,municipal
85,escola da rocha municipal,publica,municipal
86,escola lopes estadual,publica,estadual
87,escola andrade ltda,privada,privada
88,escola azevedo estadual,publica,estadual
89,escola farias estadual,publica,estadual
90,escola araujo estadual,publica,estadual
91,escola da conceicao municipal,publica,municipal
92,escola pires ltda,privada,privada
93,escola santos ltda,privada,privada
94,escola abreu estadual,publica,estadual
95,escola barbosa ltda,privada,privada
96,escola camara estadual,publica,estadual
97,escola campos estadual,publica,estadual
98,escola da cruz municipal,publica,municipal
99,escola machado estadual,publica,estadual
100,escola das neves estadual,publica,estadual
101,escola guerra estadual,publica,estadual
102,escola rios ltda,privada,privada
103,escola silva municipal,publica,municipal
104,escola freitas municipal,publica,municipal
105,escola macedo ltda,privada,privada
106,escola moreira estadual,publica,estadual
107,escola rezende estadual,publica,estadual
108,escola novaes municipal,publica,municipal
109,escola pastor estadual,publica,estadual
110,escola da conceicao ltda,privada,privada
111,escola pastor municipal,publica,municipal
112,escola almeida ltda,privada,privada
113,escola azevedo ltda,privada,privada
114,escola camara estadual,publica,estadual
115,escola fernandes ltda,privada,privada
116,escola cardoso ltda,privada,privada
117,escola nogueira municipal,publica,municipal
118,escola cunha municipal,publica,municipal
119,escola da mota municipal,publica,municipal
120,escola mendonca municipal,publica,municipal
121,escola rios municipal,publica,municipal
122,escola barbosa municipal,publica,municipal
123,escola da costa municipal,publica,municipal
124,escola moraes municipal,publica,municipal
125,escola cardoso ltda,privada,privada
126,escola ribeiro estadual,publica,estadual
127,escola vargas municipal,publica,municipal
128,escola azevedo estadual,publica,estadual
129,escola nascimento ltda,privada,privada
130,escola teixeira estadual,publica,estadual
131,escola melo ltda,privada,privada
132,escola novaes municipal,publica,municipal
